,audience_count,content_rating,runtime,production_company_popularity,actor_popularity,Main_Genre,director_popularity,author_popularity,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
0,254421,PG,119.0,WORLDCLASS,POPULAR,Action & Adventure,SUPER POPULAR,POPULAR,43,73,76
1,11574,R,90.0,SUPER POPULAR,PRETTY DECENT,Comedy,POPULAR,POPULAR,44,123,19
2,14684,R,122.0,PRETTY DECENT,POPULAR,Comedy,POPULAR,POPULAR,2,16,8
3,105386,NR,95.0,POPULAR,POPULAR,Classics,POPULAR,POPULAR,6,54,0
4,68918,G,127.0,SUPER POPULAR,POPULAR,Action & Adventure,POPULAR,PRETTY DECENT,5,24,3
5,411140,PG-13,109.0,WORLDCLASS,POPULAR,Action & Adventure,WORLDCLASS,POPULAR,37,12,137
6,23890,NR,80.0,PRETTY DECENT,PRETTY DECENT,Action & Adventure,SUPER POPULAR,PRETTY DECENT,8,49,2
7,9243,NR,92.0,WORLDCLASS,PRETTY DECENT,Classics,PRETTY DECENT,NOT THAT POPULAR,6,27,1
8,4819,PG,103.0,PRETTY DECENT,NOT THAT POPULAR,Comedy,NOT THAT POPULAR,NOT THAT POPULAR,0,2,8
9,457,NR,97.0,WORLDCLASS,NOT THAT POPULAR,Classics,PRETTY DECENT,NOT POPULAR,4,9,2
10,21475,PG-13,100.0,PRETTY DECENT,PRETTY DECENT,Art House & International,POPULAR,PRETTY DECENT,3,12,3
11,20821,R,110.0,WORLDCLASS,SUPER POPULAR,Drama,POPULAR,PRETTY DECENT,1,20,2
12,25944,R,143.0,SUPER POPULAR,POPULAR,Drama,PRETTY DECENT,PRETTY DECENT,37,21,62
13,335,NR,97.0,WORLDCLASS,NOT THAT POPULAR,Drama,POPULAR,PRETTY DECENT,1,10,0
14,10563,NR,101.0,SUPER POPULAR,POPULAR,Classics,POPULAR,PRETTY DECENT,6,27,1
15,1935,PG,124.0,POPULAR,POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,13,1,23
16,286,PG,92.0,PRETTY DECENT,NOT POPULAR,Drama,NOT THAT POPULAR,NOT POPULAR,6,18,0
17,6711,R,87.0,WORLDCLASS,SUPER POPULAR,Drama,NOT THAT POPULAR,NOT THAT POPULAR,35,85,39
18,1046,G,86.0,NOT THAT POPULAR,NOT THAT POPULAR,Action & Adventure,NOT THAT POPULAR,NOT THAT POPULAR,1,4,1
19,4692,G,90.0,NOT THAT POPULAR,SUPER POPULAR,Documentary,NOT THAT POPULAR,POPULAR,18,35,17
20,33946,PG,102.0,SUPER POPULAR,PRETTY DECENT,Action & Adventure,POPULAR,PRETTY DECENT,8,48,0
21,554,NR,100.0,SUPER POPULAR,PRETTY DECENT,Classics,POPULAR,PRETTY DECENT,0,11,1
22,10373,R,83.0,POPULAR,POPULAR,Comedy,PRETTY DECENT,PRETTY DECENT,1,6,2
23,386,R,103.0,NOT THAT POPULAR,NOT POPULAR,Comedy,POPULAR,NOT POPULAR,1,4,1
24,914,R,77.0,NOT POPULAR,PRETTY DECENT,Art House & International,NOT POPULAR,NOT POPULAR,4,0,6
25,220956,PG-13,126.0,WORLDCLASS,SUPER POPULAR,Drama,SUPER POPULAR,POPULAR,36,38,83
26,867,NR,94.0,PRETTY DECENT,NOT POPULAR,Art House & International,NOT THAT POPULAR,NOT THAT POPULAR,4,10,6
28,135400,R,121.0,WORLDCLASS,WORLDCLASS,Action & Adventure,POPULAR,POPULAR,39,54,77
29,13033,R,93.0,PRETTY DECENT,PRETTY DECENT,Comedy,PRETTY DECENT,PRETTY DECENT,2,0,5
30,279994,PG-13,88.0,WORLDCLASS,SUPER POPULAR,Action & Adventure,POPULAR,SUPER POPULAR,21,7,76
31,866,R,75.0,NOT THAT POPULAR,NOT POPULAR,Action & Adventure,NOT POPULAR,NOT POPULAR,7,14,1
32,134483,PG,94.0,WORLDCLASS,POPULAR,Animation,SUPER POPULAR,SUPER POPULAR,30,20,72
33,2622,R,90.0,POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,4,6,12
34,1295,R,108.0,POPULAR,NOT THAT POPULAR,Horror,NOT THAT POPULAR,NOT THAT POPULAR,10,7,27
35,1460,NR,150.0,SUPER POPULAR,PRETTY DECENT,Classics,PRETTY DECENT,PRETTY DECENT,6,0,12
36,1135,NR,71.0,WORLDCLASS,NOT THAT POPULAR,Classics,POPULAR,PRETTY DECENT,0,11,0
